request,PS_g,PS_r,PS_i,PS_z,PS_y,p,pe
4464512882357505280,16.18950081,16.4116993,16.65180016,16.86949921,17.00489998,10.30198568,0.105288463
4465105351622152704,15.3998003,15.70940018,16.0067997,16.24959946,16.43099976,12.01525834,0.055313826
4465939601772584448,0,0,0,0,0,14.47765146,0.50833139
4466388790929771904,0,0,0,0,0,39.04707515,0.032886523
4466984859374027904,19.03269959,18.78120041,18.71660042,18.72780037,18.71509933,11.59687791,0.211761658
4467229882964819456,19.9893,19.5627,19.381001,19.317101,19.317301,10.68173988,0.412416453
4467742388527832192,14.9536,15.2418,15.5413,15.7661,15.9114,16.67561194,0.062915277
4467856669017753856,0,0,0,0,0,10.27193059,0.453006862
4468262594967618048,0,0,0,0,0,10.9472555,0.378743367
4468709791261277184,18.5769,18.368799,18.302999,18.331301,18.348,10.112742,0.225449767
4469700519955285760,16.6912,16.8641,17.054399,17.2388,17.399799,10.16685689,0.087471923
4470233817461336704,0,0,0,0,0,33.18222375,0.036090972
